method,h,kappa,cell,time,max_ahead_HP_over_h2,raw_peak_cell,candidate_peak_HP_over_h2,candidate_peak_cell,best_fit_center_rel_cells,best_fit_A_over_h2,best_fit_relL2,best_fit_corr
gl6,0.01,5,340,3.4,0.10649764168353773,619.0,0.07283225727738234,437.0,436.7074439070502,0.03518409486163213,0.8754740826034132,0.4832650729048316
gl6,0.01,5,345,3.45,0.10504925356680393,612.0,0.08059589282202531,522.0,523.4365194610828,0.052382202127451975,0.9179501130310528,0.39669584064655594
gl6,0.01,5,350,3.5,0.1209147062531245,610.0,0.1209147062531245,610.0,609.4435960822545,0.07734780890419754,0.9037265456479023,0.4281101852225774
gl6,0.01,5,355,3.5500000000000003,0.1780747823230751,690.0,0.12308982624761464,608.0,607.3630351665358,0.07988480928125409,0.8939392613399944,0.44818812683392856
gl6,0.01,5,360,3.6,0.19809824366646034,687.0,0.19809824366646034,687.0,686.9758725365705,0.10838044666470306,0.8599681204015927,0.5103477558419867
gl6,0.01,5,365,3.65,0.17059916449566748,679.0,0.052561688395912076,607.0,603.3133370485043,0.08256771385661088,0.8667853450193673,0.49868142702496576
gl6,0.01,5,370,3.7,0.18254966943598536,676.0,0.04744777362144155,463.0,463.945077880373,0.0387576860982068,0.874471989528792,0.4850760141767023
gl6,0.01,5,375,3.75,0.16890249191142384,668.0,0.049742693370468466,456.0,457.2196429126832,0.03455489504746461,0.9136473890777398,0.4065076240754033
gl6,0.01,5,380,3.8000000000000003,0.1860281093289911,665.0,0.12713451607554582,598.0,596.9588012978747,0.0924354390002534,0.8253341189642881,0.5646446600061338
gl6,0.01,5,385,3.85,0.16749026585950552,661.0,0.0627973782229361,384.0,383.35742983880095,0.03835945424176775,0.8651856706193802,0.501451648072766
gl6,0.01,5,390,3.9,0.17698283771983503,654.0,0.06266213613649793,378.0,377.4893131939482,0.04045569521807114,0.8446898281691559,0.53525610149494
gl6,0.01,5,395,3.95,0.1715503461934975,655.0,0.1328031284609971,651.0,650.0650919945647,0.11672971744887994,0.8538476445810271,0.5205230060654688
gl6,0.01,5,400,4.0,0.1697599885378332,648.0,0.08533451559693053,583.0,583.0534869760511,0.07364116307280441,0.9128561337260531,0.40828137248559626
gl6,0.01,5,405,4.05,0.19375001286344462,645.0,0.19375001286344462,645.0,644.5678421230737,0.09843072340562317,0.8965159410225826,0.44301147557641546
