case,cell,time,q,q_gauge,hp_edge
h0.01_k5_max,42,0.42,0.01724233123777323,0.01724233123777323,0.02034583015046994
h0.01_k5_max,43,0.43,-0.01841129901142493,0.01841129901142493,0.02108505200805085
h0.01_k5_max,44,0.44,0.017875960241016058,0.017875960241016058,0.021811018717109068
h0.01_k5_max,45,0.45,-0.019080198187576322,0.019080198187576322,0.02252413812147103
h0.01_k5_max,46,0.46,0.018295806946258226,0.018295806946258226,0.023220780206613625
h0.01_k5_max,47,0.47000000000000003,-0.01951716599083013,0.01951716599083013,0.023891083963662595
h0.01_k5_max,48,0.48,0.018446717256722582,0.018446717256722582,0.02453615907526151
h0.01_k5_max,49,0.49,-0.019662267740716763,0.019662267740716763,0.02514631299669342
h0.01_k5_max,50,0.5,0.018274052407822615,0.018274052407822615,0.025708657130541088
h0.01_k5_max,51,0.51,-0.019460971990728305,0.019460971990728305,0.026230424213034863
h0.01_k5_max,52,0.52,0.01772925415853674,0.01772925415853674,0.02670570022966348
h0.01_k5_max,53,0.53,-0.01886596861317113,0.01886596861317113,0.027106578518806917
h0.01_k5_max,54,0.54,0.016779203701777882,0.016779203701777882,0.02745631453700858
h0.01_k5_max,55,0.55,-0.017848093070710683,0.017848093070710683,0.027718639448223167
h0.01_k5_max,56,0.56,0.01540654675823272,0.01540654675823272,0.02793463171227341
h0.01_k5_max,57,0.5700000000000001,-0.016395007988704555,0.016395007988704555,0.028036327343330017
h0.01_k5_max,58,0.58,0.013616570422276326,0.013616570422276326,0.028084994997971967
h0.01_k5_max,59,0.59,-0.014519717878924494,0.014519717878924494,0.027993303927141954
h0.01_k5_max,60,0.6,0.011446817531562884,0.011446817531562884,0.027857495997231814
h0.01_k5_max,61,0.61,-0.012267476400792284,0.012267476400792284,0.02754654600707239
h0.01_k5_max,62,0.62,0.008961792595041351,0.008961792595041351,0.027215899245588992
h0.01_k5_max,63,0.63,-0.009709236425052862,0.009709236425052862,0.026666581551247195
h0.01_k5_max,64,0.64,0.006251148038706593,0.006251148038706593,0.026109776495411005
h0.01_k5_max,65,0.65,-0.006937818033538696,0.006937818033538696,0.02530776256112361
h0.01_k5_max,66,0.66,0.0034139184830358172,0.0034139184830358172,0.02452207273275981
h0.01_k5_max,67,0.67,-0.004049854709573989,0.004049854709573989,0.02379327023030266
h0.01_k5_max,68,0.68,0.0005527571351918053,0.0005527571351918053,0.023695324120354296
